branch,city,user2
山东,枣庄市,9535
新疆,伊犁哈萨克自治州,5014
广西,桂林市,15503
福建,,9389
青海,海西藏族自治州,1380
深圳,深圳市,61717
安徽,六安市,8223
山西,晋中市,9896
河南,商丘市,5709
黑龙江,齐齐哈尔市,2296
湖北,孝感市,2015
福建,福州市,115205
四川,宜宾市,24083
贵州,贵阳市,76336
四川,内江市,8121
吉林,,13987
浙江,温州市,26105
四川,甘孜藏族自治州,337
湖北,恩施土家族苗族自治州,523
云南,迪庆藏族自治州,5
宁夏,吴忠市,15661
云南,西双版纳傣族自治州,83
广东,中山市,2591
江苏,苏州市,14569
山东,东营市,8186
湖北,咸宁市,439
浙江,杭州市,102009
山西,晋城市,2637
新疆,和田地区,37
四川,阿坝藏族羌族自治州,24
福建,漳州市,19604
甘肃,庆阳市,1163
江苏,扬州市,1139
辽宁,鞍山市,17875
新疆,阿勒泰地区,1533
广东,云浮市,992
河南,许昌市,12665
湖北,十堰市,1294
陕西,榆林市,2446
四川,遂宁市,3562
江苏,徐州市,20950
广东,汕尾市,235
江苏,南充市,19714
内蒙古,通辽市,9500
广西,百色市,1415
湖北,荆门市,18267
河南,漯河市,1499
山东,济宁市,3479
江苏,南通市,15580
青海,海东市,3375
山东,潍坊市,14402
江苏,南京市,77082
山东,菏泽市,9063
湖南,永州市,4719
福建,南平市,20661
内蒙古,赤峰市,9019
湖南,岳阳市,2240
山西,长治市,2060
宁夏,银川市,54591
河北,衡水市,1469
陕西,安康市,5331
新疆,喀什地区,6363
四川,,2353
安徽,池州市,3898
贵州,黄南州市,136
宁夏,,54
黑龙江,七台河市,327
江苏,常州市,9163
陕西,西咸新区,18
河北,唐山市,54728
河南,濮阳市,4029
西藏,昌都市,1
新疆,可克达拉市(自治区直辖),1
福建,莆田市,15997
湖北,黄冈市,1974
甘肃,武威市,3150
新疆,哈密市,10875
西藏,那曲市,10
河南,开封市,1933
新疆,克孜勒苏柯尔克孜自治州,5
辽宁,阜新市,18546
新疆,博尔塔拉蒙古自治州,7881
内蒙古,巴彦淖尔市,2252
广西,北海市,894
江西,抚州市,4508
广东,惠州市,2960
上海,上海市,221177
安徽,黄山市,3668
山东,临沂市,9901
湖北,宜昌市,11667
海南,海口市,9991
河北,邯郸市,16375
四川,绵阳市,13400
山西,大同市,4629
山东,日照市,4544
广西,防城港市,514
河北,邢台市,10448
吉林,延边朝鲜族自治州,3281
江西,新余市,5185
云南,昆明市,27218
新疆,昌吉回族自治州,13550
安徽,淮南市,24803
西藏,山南市,7
山东,威海市,3741
四川,攀枝花市,14425
安徽,滁州市,1890
新疆,乌鲁木齐市,23748
云南,楚雄彝族自治州,192
浙江,衢州市,8162
湖北,,10260
浙江,绍兴市,5362
河南,郑州市,67591
辽宁,沈阳市,60612
西藏,林芝市,25
浙江,金华市,25525
甘肃,甘南藏族自治州,17
四川,雅安市,12751
山东,聊城市,7206
山西,太原市,40389
天津,天津市,200561
广东,肇庆市,995
云南,临沧市,56
湖北,鄂州市,17418
江西,赣州市,4897
安徽,合肥市,50920
云南,,1013
江西,上饶市,1305
云南,曲靖市,11925
黑龙江,伊春市,631
广东,阳江市,507
云南,大理白族自治州,714
安徽,蚌埠市,7706
陕西,渭南市,1327
北京,北京市,47990
广西,贺州市,2681
吉林,白山市,10455
广西,南宁市,14523
四川,巴中市,2286
贵州,毕节市,16946
内蒙古,鄂尔多斯市,585
黑龙江,绥化市,3365
湖北,荆州市,14798
陕西,宝鸡市,6883
四川,成都市,161921
贵州,安顺市,14595
浙江,台州市,8425
贵州,黔东南苗族侗族自治州,13281
湖南,怀化市,1713
内蒙古,,252
湖南,湘西土家族苗族自治州,1094
浙江,丽水市,983
河北,,796
内蒙古,呼和浩特市,11249
四川,自贡市,4948
甘肃,,1310
山东,莱芜市,4219
新疆,铁门关市（自治区直辖）,3
新疆,克拉玛依市,254
黑龙江,鸡西市,5396
云南,德宏傣族景颇族自治州,124
甘肃,临夏回族自治州,773
贵州,铜仁市,21431
湖北,襄阳市,6154
青海,海西蒙古族藏族自治州,12
广东,汕头市,1604
山东,淄博市,3343
贵州,黔南布依族苗族自治州,23039
江苏,镇江市,1468
青海,果洛藏族自治州,8
山西,临汾市,11592
广东,珠海市,1701
安徽,亳州市,2910
广西,梧州市,7857
江西,,4795
吉林,辽源市,1378
河南,鹤壁市,3555
新疆,塔城地区,2231
陕西,,2459
广东,揭阳市,675
吉林,通化市,19045
安徽,安庆市,3873
浙江,舟山市,1527
江西,南昌市,14498
海南,三亚市,6000
福建,龙岩市,22286
河南,平顶山市,13646
湖南,衡阳市,4218
四川,眉山市,2307
广西,贵港市,4656
黑龙江,鹤岗市,1262
厦门,厦门市,74209
河南,驻马店市,6721
黑龙江,哈尔滨市,9497
湖南,,6450
四川,德阳市,7946
内蒙古,乌海市,296
辽宁,朝阳市,23751
黑龙江,牡丹江市,10183
海南,三沙市,52
河北,承德市,672
广西,崇左市,764
青海,,2261
黑龙江,大庆市,7352
山东,济南市,165953
山西,吕梁市,10277
河南,周口市,1381
云南,玉溪市,328
江苏,盐城市,9948
安徽,阜阳市,26777
四川,资阳市,4905
湖南,长沙市,10365
河南,安阳市,7227
广西,河池市,4312
宁夏,固原市,11131
甘肃,白银市,1872
甘肃,张掖市,1801
云南,怒江傈僳族自治州,829
广东,东莞市,5736
贵州,贵安新区,87
山西,,266
新疆,吐鲁番市,3417
黑龙江,大兴安岭地区,456
青海,玉树市,7
内蒙古,包头市,11289
广东,佛山市,11311
广西,钦州市,1223
贵州,黔西南市,5153
广西,来宾市,712
辽宁,锦州市,53835
辽宁,抚顺市,21157
黑龙江,黑河市,712
湖南,娄底市,12104
四川,凉山彝族自治州,5161
广东,河源市,383
海南,,12868
黑龙江,佳木斯市,1534
河南,新乡市,3734
江西,景德镇市,6909
吉林,松原市,5458
甘肃,酒泉市,722
山西,运城市,3540
贵州,黔南布依苗族自治州,8182
甘肃,平凉市,2538
山东,德州市,4451
河南,信阳市,5205
辽宁,营口市,27969
山东,,7251
河南,,1613
广东,广州市,41086
广东,茂名市,1631
甘肃,金昌市,489
西藏,,15
青海,黄南藏族自治州,1
广西,柳州市,5282
内蒙古,阿拉善盟,248
宁波,宁波市,82551
浙江,,2676
内蒙古,呼伦贝尔市,3930
湖北,武汉市,21555
吉林,四平市,4018
福建,泉州市,30390
四川,广元市,8805
浙江,湖州市,3476
贵州,,2320
辽宁,本溪市,4821
云南,保山市,157
贵州,遵义市,69092
内蒙古,乌兰察布市,1402
湖南,邵阳市,24949
广东,韶关市,2789
广西,,720
陕西,延安市,2339
宁夏,中卫市,295
新疆,阿拉尔市（自治区直辖）,21
新疆,,887
陕西,商洛市,781
新疆,阿克苏地区,1425
江苏,连云港市,2193
贵州,六盘水市,18397
湖南,郴州市,5866
安徽,铜陵市,12860
天津,北京市,10021
西藏,拉萨市,2499
福建,宁德市,7876
江苏,,13065
福建,三明市,66907
辽宁,丹东市,17321
山西,阳泉市,2865
河南,三门峡市,1347
河南,南阳市,14207
广东,江门市,5387
辽宁,,10274
青海,西宁市,16951
湖北,随州市,2592
河北,沧州市,1615
安徽,马鞍山市,13701
广西,玉林市,5280
湖南,株洲市,4955
河南,焦作市,1960
河北,保定市,16627
甘肃,嘉峪关市,285
湖南,湘潭市,4719
江西,鹰潭市,4246
江西,宜春市,3364
云南,红河哈尼族彝族自治州,2369
陕西,西安市,61916
安徽,淮北市,2453
辽宁,葫芦岛市,7489
安徽,宣城市,3821
陕西,铜川市,1853
湖南,张家界市,10552
宁夏,石嘴山市,1467
甘肃,天水市,956
河北,张家口市,7615
湖北,黄石市,14468
湖南,常德市,6382
辽宁,盘锦市,5712
广东,潮州市,782
甘肃,陇南市,3355
广东,梅州市,648
内蒙古,兴安盟,103
吉林,长春市,70714
山东,烟台市,16622
江西,九江市,1890
吉林,吉林市,33191
四川,广安市,10533
陕西,咸阳市,4003
云南,丽江市,95
青海,海北藏族自治州,93
新疆,石河子市（自治区直辖）,965
大连,大连市,56062
辽宁,铁岭市,11816
安徽,宿州市,7494
湖南,益阳市,5025
山西,忻州市,1866
江西,吉安市,5020
安徽,芜湖市,6815
新疆,图木舒克市（自治区直辖）,8
云南,昭通市,252
新疆,双河市（自治区直辖）,1
山东,泰安市,4586
内蒙古,锡林郭勒盟,576
黑龙江,双鸭山市,3561
四川,乐山市,5849
广东,清远市,1021
山东,滨州市,3768
河北,秦皇岛市,1682
江西,萍乡市,1396
黑龙江,,2462
四川,南充市,3236
四川,达州市,24448
山西,朔州市,5583
广东,,20117
河南,洛阳市,18427
吉林,白城市,6417
陕西,汉中市,869
西藏,日喀则市,3
青岛,青岛市,99422
新疆,巴音郭楞蒙古自治州,16807
浙江,嘉兴市,4086
云南,普洱市,131
江苏,宿迁市,1300
安徽,,2822
江苏,泰州市,2589
四川,泸州市,6171
贵州,黔东南侗族自治州,3029
甘肃,兰州市,56817
青海,海南藏族自治州,311
广东,湛江市,4624
辽宁,辽阳市,5300
河北,廊坊市,9734
江苏,无锡市,6016
null,null,54921
云南,文山壮族苗族自治州,2743
江苏,淮安市,4719
重庆,重庆市,113240
甘肃,定西市,8855
河北,石家庄市,25505
