mchnt_nm,type1,scene,cnt_today,cnt_yesterday,cnt_ratio,discnt_today,discnt_yesterday,discnt_ratio
成都红旗连锁股份有限公司,被扫,零售,22728,24344,-0.06638186000657242,21245,22585,-0.059331414655744985
上海公交,乘车码,公交地铁,17646,17573,0.004154100039833741,15796,15693,0.006563435926846273
天津市公交,乘车码,公交地铁,15572,15370,0.013142485361093081,14889,14702,0.012719357910488283
昆明日新达商贸有限公司,被扫,零售,15546,15115,0.028514720476348066,0,0,NaN
上海联华超市发展有限公司,被扫,零售,12064,14731,-0.18104677211323061,11511,11816,-0.025812457684495582
工大二食堂猪脚饭,主扫,餐饮,9712,6327,0.5350086929034297,9712,6327,0.5350086929034297
永辉超市股份有限公司,被扫,零售,9550,10829,-0.11810878197432817,6469,7277,-0.11103476707434379
工大二食堂烤肉饭,主扫,餐饮,9347,6692,0.39674237895995224,9347,6692,0.39674237895995224
滨海公交,乘车码,公交地铁,9095,9193,-0.010660284999456149,7487,7608,-0.015904311251314418
青岛公交集团有限责任公司,被扫,公交地铁,8804,8703,0.011605193611398334,8418,8413,5.943183168906074E-4
