index,cnt_today,cnt_yesterday,ratio
远程转账,1137146,1129404,0.00685494296106619
信用卡还款,965039,971335,-0.006481800820520212
被扫,670286,796427,-0.15838363089146903
一般主扫,444996,465235,-0.04350274592410287
快速收款码,424614,413897,0.02589291538716154
小微主扫,272399,269494,0.010779460767215596
外部控件,242454,254887,-0.04877847830607289
乘车码,120767,116898,0.03309723006381632
人到人转账,96761,94153,0.0276995953395006
公缴,67152,70976,-0.05387736699729486
充值,29055,29988,-0.031112444977991198
无感支付,13734,13826,-0.006654129900188052
微信收款码,4098,4307,-0.048525655908985374
数娱服务,830,1984,-0.5816532258064516
商城,219,188,0.16489361702127658
