branch,cnt_today,cnt_yesterday,ratio,dis_cnt_today,dis_cnt_yesterday,dis_ratio
福建,528213,525767,0.004652250902015487,418443,403794,0.03627839938186295
四川,516960,516738,4.296181043390579E-4,273455,276259,-0.010149895569013134
辽宁,439710,466498,-0.057423611676791775,306446,317265,-0.034100830535987225
贵州,439471,434490,0.011464015282284912,329579,306183,0.0764118190755203
山东,375976,395724,-0.049903468073707935,271323,276812,-0.019829342658555293
天津,368970,359453,0.0264763404395012,307091,297434,0.03246770712157998
上海,331856,337883,-0.017837535478257283,229299,233108,-0.016340065549015903
江苏,304735,307273,-0.008259755982465089,249058,251398,-0.009307949943913596
安徽,283591,275227,0.030389460336376795,221785,216452,0.024638256980762385
河南,283292,296004,-0.04294536560316753,189180,194578,-0.027742088005838328
浙江,282600,283722,-0.003954575253240833,194371,196297,-0.009811662939321564
吉林,248775,248882,-4.2992261392948983E-4,196067,203447,-0.0362748037572439
河北,219964,209259,0.0511567005481246,164562,160161,0.02747859965909294
湖北,201939,218619,-0.07629711964650832,51084,68966,-0.25928718498970504
青岛,178733,133871,0.335113654189481,157783,113550,0.3895464553060326
重庆,171098,167047,0.024250659993893864,87470,31321,1.7926949969668913
湖南,163518,167148,-0.02171728049393351,91298,93330,-0.021772206150219686
新疆,159000,151823,0.047272152440670956,32271,33541,-0.037864106615783655
甘肃,156547,152170,0.028763882499835747,127328,123573,0.030386896814029063
陕西,148129,122904,0.2052414892924559,90308,37080,1.4354908306364615
广东,138298,146077,-0.05325273657043883,64582,66116,-0.023201645592594855
宁夏,134047,139103,-0.03634716720703368,119943,123118,-0.025788268165499728
宁波,129759,134743,-0.03698893449010343,116281,120413,-0.0343152317440808
山西,120901,155648,-0.22324090254934215,97684,129939,-0.24823186264324026
厦门,104560,114072,-0.08338593169226449,43097,38779,0.11134892596508417
广西,97256,96914,0.003528901913036231,56159,59315,-0.0532074517407064
江西,87315,88524,-0.013657313270977411,68840,69197,-0.005159183201583928
内蒙古,83269,82992,0.003337671100829054,18649,19541,-0.04564761271173434
深圳,82610,91896,-0.1010490119265256,39657,44740,-0.11361198033080022
null,77874,70100,0.11089871611982871,30728,26688,0.15137889688249406
大连,74981,113046,-0.33672133467791876,46414,86698,-0.4646473967104201
云南,74907,68533,0.09300628894109408,9979,8532,0.16959681200187537
黑龙江,68530,67409,0.016629826877716525,29075,30182,-0.03667748989463915
北京,60908,63492,-0.04069804069804073,40089,39562,0.0133208634548303
海南,50624,50563,0.001206415758558732,15150,15456,-0.01979813664596275
青海,41644,40560,0.02672583826429986,18526,18260,0.014567360350492775
西藏,5185,4842,0.07083849648905405,101,22,3.590909090909091
